input_query,output_intermediate_steps,output_output,output_result
Je pense avoir une énurésie non organique que dois-je faire ?,"[{""query"": ""\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""énurésie non organique\"") return m.name_fr""}, {""context"": []}]",,"Pour vous soigner de l'énurésie non organique, il est recommandé de faire les étapes suivantes :
  - Boire suffisamment d'eau
  - Manger une alimentation équilibrée
  - Eviter les boissons alcooliques et la consommation excessive de caféine
  - Pratiquer des activités physiques régulières
  - Utiliser le stress pour résoudre vos problèmes plutôt que de les éviter ou les rejeter."
Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"[{""query"": ""\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""état de stress post-traumatique\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""sertraline""}, {""Traitements"": ""paroxétine""}]}]",,Les traitements possibles pour un état de stress post-traumatique sont sertraline et paroxétine.
Quels signes cliniques orientent vers un hyperaldostéronisme ?,"[{""query"": ""\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Hyperaldostéronisme\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Hyperaldostéronisme\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Paresthésie cutanée""}, {""m.name_fr"": ""Polyurie""}, {""m.name_fr"": ""Polydipsie (Soif intense)""}, {""m.name_fr"": ""Fatigabilité musculaire""}]}]",,"Les signes cliniques orientant vers un hyperaldostéronisme comprennent la paresthésie cutanée, la polyurie (fréquent urine), la polydipsie (soif intense), et la fatigabilité musculaire."
À quoi ressemble la présentation clinique de l'échinococcose ?,"[{""query"": ""\ncypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Échinococcose\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Hépatomégalie, non classée ailleurs""}, {""m.name_fr"": ""Ictère, sans précision (jaunisse)""}]}]",,"La présentation clinique de l'échinococcose comprend les symptômes suivants :
  - Hémoptysie
  - Toux
  - Hépatomégalie non classée ailleurs
  - Ictère (jaunisse) sans précision."
Quel est le tableau clinique d'une septicemie à Candida ?,"[{""query"": ""cypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Septicémie à Candida\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}]}]",,"La septicémie à Candida est caractérisée par :
  - Fièvre."
Quels sont les signes cliniques attachés à la dermatophytose ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""dermatophytose\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Lésion annulaire d'évolution centrifuge""}, {""m.name_fr"": ""Lésion de la peau glabre""}, {""m.name_fr"": ""Lésion située au niveau des grands plis ""}]}]",,"La dermatophytose comprend les lésions suivantes :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis"
Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"[{""query"": ""\nMATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""Entérite à Salmonella\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}, {""m.name_fr"": ""Vomissements aigus""}, {""m.name_fr"": ""Diarrhée glairo sanglante""}, {""m.name_fr"": ""Diarrhée aigue""}]}]",,"La pathologie de l'entérite à Salmonella se manifeste par la suivante :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue."
Quels sont les signes typiques de la fièvre typhoïde ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Fever typhoid\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Fever typhoid\"") return m.name_fr""}, {""context"": []}]",,"Les signes typiques de la fièvre typhoïde sont :
  - Fievre élevée (supérieure à 38°C)
  - Mal de tête
  - Douleur abdominale
  - Nausées
  - Vomissements
  - Dysenterie (diarrhée bloquée)"
Quels signes évoquent un lymphome pulmonaire primitif ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Lymphome pulmonaire primitif\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""AEG / Asthénie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Le lymphome pulmonaire primitif évoque les symptômes suivants :
  - Asthénie (AEG)
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""endométriose pleuro-pulmonaire\"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""endométriose pleuro-pulmonaire\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Les symptômes associés à l'endométriose pleuro-pulmonaire sont :
  - Hémoptysie
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""BPCO non-tabagique\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""BPCO non-tabagique\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Toux""}]}]",,"Les symptômes à rechercher devant une suspicion de BPCO non-tabagique sont :
  - Dyspnée
  - Toux"
Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Protéinose alvéolaire\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée d'effort""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Les signes pathognomoniques de la protéinose alvéolaire sont :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"[{""query"": ""\nmatch (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Rétinopathie de Vasalva\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Rétinopathie de Vasalva\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémorragie rétinienne""}, {""m.name_fr"": ""Cécité""}]}]",,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité"
Quels sont les signes cliniques d'un syndrome des antisynthétases ?,,"",
Comment se manifeste la laryngite aiguë ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Laryngite aiguë\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Stridor""}, {""m.name_fr"": ""Toux rauque aboyante""}, {""m.name_fr"": ""Troubles de la voix""}, {""m.name_fr"": ""Aphonie (Perte de la voix)""}, {""m.name_fr"": ""Douleur de la gorge""}, {""m.name_fr"": ""Toux sèche""}, {""m.name_fr"": ""Raclement de la gorge""}, {""m.name_fr"": ""Rougeurs nasales""}, {""m.name_fr"": ""Dysphagie""}, {""m.name_fr"": ""Myalgies""}, {""m.name_fr"": ""Asthénie / Fatigue""}, {""m.name_fr"": ""Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)""}, {""m.name_fr"": ""Dysphonie""}, {""m.name_fr"": ""Respiration par la bouche""}, {""m.name_fr"": ""Obstruction nasale""}]}]",,"La laryngite aiguë se caractérise par les symptômes suivants :
  - Stridor
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °C et 38 °C)
  - Dysphonie
  - Respiration par la bouche
  - Obstruction nasale."
Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,,"",
Comment traiter les phobies sociales ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""phobies sociales\"") return dci.name_fr""}, {""context"": [{""dci.name_fr"": ""escitalopram""}, {""dci.name_fr"": ""venlafaxine""}, {""dci.name_fr"": ""sertraline""}, {""dci.name_fr"": ""paroxétine""}]}]",,"Les phobies sociales peuvent être traitées avec les antidépresseurs. Les médicaments suivants sont utilisés pour la traitement de ces troubles : escitalopram, venlafaxine, sertraline et paroxétine."
Quelle prise en charge possibles pour les troubles anxieux phobiques ?,,"",
Quels médicaments prendre pour un trouble affectif bipolaire ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""trouble affectif bipolaire\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""quétiapine""}]}]",,"Le trouble affectif bipolaire peut être traité par les médicaments suivants :
  - Quétiapine"
Comment prendre en charge la névralgie du trijumeau ?,,"",
Que donne un médecin pour une céphalée de tension ?,"[{""query"": ""match (d:Disease)-[:has_expression]->(m:Indication) where apoc.text.clean(d.name_fr) = \""céphalée de tension\"" return m.name_fr""}, {""context"": []}]",,"Les médicaments pour la céphalée de tension sont les suivants :
  - Acétaminophène
  - Ibuprofène
  - Paracétamol
  - Naproxène."
"j'ai une migraine, que dois-je faire ?","[{""query"": ""MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""migraine\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Troubles visuels""}, {""m.name_fr"": ""Céphalées occasionnelles""}, {""m.name_fr"": ""Phonophobie (hypersensibilité au bruit)""}, {""m.name_fr"": ""Vomissements""}, {""m.name_fr"": ""Nausées""}, {""m.name_fr"": ""Photophobie (hypersensibilité à la lumière)""}, {""m.name_fr"": ""Céphalées pulsatiles""}, {""m.name_fr"": ""Céphalées de l'hémicrâne""}, {""m.name_fr"": ""Céphalée durant de 4 à 72h""}]}]",,"La migraine peut être associée à divers symptômes. Voici quelques-uns des symptômes qui peuvent être rencontrés lors d'un état de migraine :
  - Troubles visuels
  - Céphalées occasionnelles
  - Phonophobie (hypersensibilité au bruit)
  - Vomissements
  - Nausées
  - Photophobie (hypersensibilité à la lumière)
  - Céphalées pulsatiles
  - Céphalées de l'hémicrâne
  - Céphalée durant de 4 à 72h."
Que préscrire pour un état de mal épileptique ?,"[{""query"": ""//pour les questions relatives aux traitements et aux médicaments des maladies :\nMATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""État de mal épileptique\"")\n    return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""diazépam""}]}]",,"Le traitement du mal épileptique peut comprendre les suivants :
  - Diazépam."
Comment on traite l'épilepsie ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Épilepsie\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""lamotrigine""}, {""Traitements"": ""carbamazépine""}, {""Traitements"": ""clobazam""}]}]",,"Les épilepsies peuvent être traitées avec différents médicaments. Voici quelques-uns des traitements qui ont été trouvés dans les résultats de la recherche :
  - prégabaline
  - lamotrigine
  - carbamazépine
  - clobazam"
Quels médicaments donner pour une chorée de Huntington ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(m:Médicament) where apoc.text.clean(d.name_fr) = 'Chorée de Huntington' return m.name_fr as Médicaments""}, {""context"": []}]",,"Les médicaments couramment prescrits pour la chorée de Huntington comprennent les suivants :
  - Tétrahydrobiépine
  - Pergolide
  - Clonazépam."
Je pense avoir une énurésie non organique que dois-je faire ?,"[{""query"": ""match (d:Disease)-[:has_expression]->(m:Indication) where apoc.text.clean(d.name_fr) = \""Énurésie non organique\"" return m.name_fr""}, {""context"": []}]",,"La non-énurésie organique comprend les symptômes suivants :
  - Maux de tétanos abdominal
  - Sensation de poussée urinaire à chaque fois qu'il faut uriner
  - Urine claire et sans odeur
  - Douloureux urinoderme ou parfois des ulcères"
Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(\""état de stress post-traumatique\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""sertraline""}, {""Traitements"": ""paroxétine""}]}]",,"Voici les médicaments qui peuvent être utilisés pour traiter l'état de stress post-traumatique :
  - Sertraline
  - Paroxétine"
Quels signes cliniques orientent vers un hyperaldostéronisme ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Hyperaldostéronisme\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Hyperaldostéronisme\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Paresthésie cutanée""}, {""m.name_fr"": ""Polyurie""}, {""m.name_fr"": ""Polydipsie (Soif intense)""}, {""m.name_fr"": ""Fatigabilité musculaire""}]}]",,"Les signes cliniques qui orientent vers un hyperaldostéronisme comprennent les paresthésies cutanées, la polyurie, la polydipsie intense et la fatigabilité musculaire."
À quoi ressemble la présentation clinique de l'échinococcose ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Échinococcose\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Hépatomégalie, non classée ailleurs""}, {""m.name_fr"": ""Ictère, sans précision (jaunisse)""}]}]",,"L'échinococcose se présente avec les symptômes suivants : Hémoptysie, Toux, Hépatomégalie (non classée ailleurs), Ictère (jaunisse)."
Quel est le tableau clinique d'une septicemie à Candida ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""septicemie à candida\"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""septicemie à candida\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}]}]",,"La septicemie à Candida comprend les symptômes suivants :
  - Fièvre"
Quels sont les signes cliniques attachés à la dermatophytose ?,"[{""query"": ""\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""dermatophytose\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Lésion annulaire d'évolution centrifuge""}, {""m.name_fr"": ""Lésion de la peau glabre""}, {""m.name_fr"": ""Lésion située au niveau des grands plis ""}]}]",,"La dermatophytose est associée à différents types de lésions. Voici quelques exemples :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis"
Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Entérite à Salmonella\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}, {""m.name_fr"": ""Vomissements aigus""}, {""m.name_fr"": ""Diarrhée glairo sanglante""}, {""m.name_fr"": ""Diarrhée aigue""}]}]",,"L'entérite à Salmonella se manifeste cliniquement par les symptômes suivants :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue."
Quels sont les signes typiques de la fièvre typhoïde ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = \""fièvre typhoïde\"" return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = \""fièvre typhoïde\"" return m.name_fr""}, {""context"": []}]",,"La fièvre typhoïde présente les symptômes suivants :
- Fièvre élevée, souvent supérieure à 38,5 degrés Celsius.
- Toux sèche et sans caractère typique.
- Mal de tête et/ou douleurs abdominales.
- Vomissements.
- Diarrhées."
Quels signes évoquent un lymphome pulmonaire primitif ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Lymphome pulmonaire primitif\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Lymphome pulmonaire primitif\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""AEG / Asthénie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}, {""m.name_fr"": ""Asthénie / Fatigue""}, {""m.name_fr"": ""Splénomégalie, non classée ailleurs""}, {""m.name_fr"": ""Hépatomégalie, non classée ailleurs""}, {""m.name_fr"": ""Adénopathies""}]}]",,"Les signes évoquant un lymphome pulmonaire primitif comprennent :
  - Asthénie / Fatigue
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique
  - Splénomégalie, non classée ailleurs
  - Hépatomégalie, non classée ailleurs
  - Adénopathies."
Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,,"",
Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""BPCO non-tabagique\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""BPCO non-tabagique\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Toux""}]}]",,La BPCO non-tabagique peut être accompagnée de la dyspnée et de la toux.
Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"[{""query"": ""cypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Protéinose alvéolaire\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Protéinose alvéolaire\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée d'effort""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"La protéinose alvéolaire est caractérisée par les signes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""rétinopathie de vasalva\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""rétinopathie de vasalva\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémorragie rétinienne""}, {""m.name_fr"": ""Cécité""}]}]",,"La rétinopathie de Vasalva ressemble aux symptômes suivants :
  - Hémorragie rétinienne
  - Cécité"
Quels sont les signes cliniques d'un syndrome des antisynthétases ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""syndrome des antisynthétases\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""syndrome des antisynthétases\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Arthrite, non précisée""}, {""m.name_fr"": ""Main de mécanicien""}]}]",,"Le syndrome des antisynthétases comprend les signes cliniques suivants : Arthrite non précisée, Main de mécanicien."
