,question,answer,cypher,contexts
10,Quel est le tableau clinique d'une septicemie à Candida ?,"Les symptômes suivants peuvent être observés dans une septicemie à Candida :
- Fièvre","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""septicémie à candida"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""septicémie à candida"") return m.name_fr'}",[{'m.name_fr': 'Fièvre'}]
11,À quoi ressemble la présentation clinique de l'échinococcose ?,"La présentation clinique de l'échinococcuse comprend les symptômes suivants :
  - Hémoptysie
  - Toux
  - Hépatomégalie non classée ailleurs
  - Ictère sans précision (jaunisse)","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Échinococcose"") return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Ictère, sans précision (jaunisse)'}]"
12,Quels signes cliniques orientent vers un hyperaldostéronisme ?,"Les signes cliniques orientant vers un hyperaldostéronisme comprennent les symptômes suivants :
  - Paresthésie cutanée (Paresthésie)
  - Polyurie (Piqûre urinaire répétée)
  - Polydipsie (Soif intense)
  - Fatigabilité musculaire.","{'query': '\ncypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""hyperaldostéronisme"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""hyperaldostéronisme"") return m.name_fr'}","[{'m.name_fr': 'Paresthésie cutanée'}, {'m.name_fr': 'Polyurie'}, {'m.name_fr': 'Polydipsie (Soif intense)'}, {'m.name_fr': 'Fatigabilité musculaire'}]"
13,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"Pour un état de stress post-traumatique, vous pouvez prendre les médicaments suivants en tant que traitement :
  - Sertraline
  - Paroxétine.","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""État de stress post-traumatique"")  return dci.name_fr as Traitements'}","[{'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
14,Je pense avoir une énurésie non organique que dois-je faire ?,"La non-énurésie organique peut être due à plusieurs raisons différentes telles que l'anxiété, la dépression ou des problèmes de sommeil. Vous pouvez essayer les suivantes :
  - Votre médecin généraliste ou un psychiatre pour obtenir une consultation et discuter de votre situation.
  - Faire du sport régulièrement car cela peut aider à réduire la tension.
  - Vous pouvez essayer d'avoir un bon sommeil en suivant une routine régulière de sommeil, évitant les écrans avant de coucher et en prenant des médicaments pour le sommeil seulement si votre médecin vous l'a conseillé.","{'query': ""MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = 'Enurésie non organique'  return m.name_fr""}",[]
15,Quels médicaments donner pour une chorée de Huntington ?,"Pour une chorée de Huntington, il est possible de donner les médicaments suivants :
  - Pimozide
  - Halopéridol","{'query': '//pour les questions relatives aux traitements et aux médicaments des maladies :\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Chorée de Huntington"")\nreturn dci.name_fr as Traitements'}","[{'Traitements': 'pimozide'}, {'Traitements': 'halopéridol'}]"
16,Comment on traite l'épilepsie ?,"Les traitements de l'épilepsie comprennent la prégabaline, la lamotrigine, la carbamazépine et le clobazam.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"") return dci.name_fr as Traitements'}","[{'Traitements': 'prégabaline'}, {'Traitements': 'lamotrigine'}, {'Traitements': 'carbamazépine'}, {'Traitements': 'clobazam'}]"
17,Que préscrire pour un état de mal épileptique ?,,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"") return dci.name_fr as Traitements'}",
18,"j'ai une migraine, que dois-je faire ?","La migraine comporte les symptômes suivants : Troubles visuels, céphalées occasionnelles, phonophobie (hypersensibilité au bruit), vomissements, nausées, photophobie (hypersensibilité à la lumière), céphalées pulsatiles, céphalées de l'hémicrâne, céphalée durant 4 à 72h.","{'query': 'match (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""migraine"") return m.name_fr'}","[{'m.name_fr': 'Troubles visuels'}, {'m.name_fr': 'Céphalées occasionnelles'}, {'m.name_fr': 'Phonophobie (hypersensibilité au bruit)'}, {'m.name_fr': 'Vomissements'}, {'m.name_fr': 'Nausées'}, {'m.name_fr': 'Photophobie (hypersensibilité à la lumière)'}, {'m.name_fr': 'Céphalées pulsatiles'}, {'m.name_fr': ""Céphalées de l'hémicrâne""}, {'m.name_fr': 'Céphalée durant de 4 à 72h'}]"
19,Que donne un médecin pour une céphalée de tension ?,Le médecin peut vous prescrire de l'amitriptyline chlorhydrate pour traiter la céphalée de tension.,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(""céphalée de tension"") return dci.name_fr'}",[{'dci.name_fr': 'amitriptyline chlorhydrate'}]
20,Comment prendre en charge la névralgie du trijumeau ?,"La neuropathie du trijumeau peut être prise en charge en utilisant les mesures suivantes :
- Médicaments anti-inflammatoires non stéroïdiens (NSAID) pour réduire la douleur et l'inflammation.
- Antidouleureux opioïdes pour traiter plus sévèrement la douleur.
- Traitement des infections, si elles existent, avec des antibiotiques ou d'autres médicaments anti-infectieux.
- Traitements corticoïdes pour réduire l'inflammation et les effets secondaires de la neuropathie.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = ""névralgie du trijumeau"" return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = ""névralgie du trijumeau"" return m.name_fr'}",[]
21,Quels médicaments prendre pour un trouble affectif bipolaire ?,"Le traitement du trouble affectif bipolaire comprend les médicaments suivants:
  - Quétiapine","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""trouble affectif bipolaire"") return dci.name_fr as médicaments'}",[{'médicaments': 'quétiapine'}]
22,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"Les troubles anxieux phobiques peuvent être pris en charge par les médicaments suivants :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""troubles anxieux phobiques"") return dci.name_fr as PrisesEnCharge'}","[{'PrisesEnCharge': 'cyamémazine'}, {'PrisesEnCharge': 'sulpiride'}, {'PrisesEnCharge': 'buspirone chlorhydrate'}, {'PrisesEnCharge': 'étifoxine chlorhydrate'}]"
23,Comment traiter les phobies sociales ?,"Les traitements pour les phobies sociales comprennent :
  - Escitalopram
  - Venlafaxine
  - Sertraline
  - Paroxétine.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""phobies sociales"") return dci.name_fr'}","[{'dci.name_fr': 'escitalopram'}, {'dci.name_fr': 'venlafaxine'}, {'dci.name_fr': 'sertraline'}, {'dci.name_fr': 'paroxétine'}]"
24,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"Les médicaments utilisés pour traiter l'anxiété généralisée comprennent la pregabaline, l'escitalopram, la venlafaxine, la paroxétine et la duloxétine.","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Anxiété généralisée"") return dci.name_fr as Traitements'}","[{'Traitements': 'prégabaline'}, {'Traitements': 'escitalopram'}, {'Traitements': 'venlafaxine'}, {'Traitements': 'paroxétine'}, {'Traitements': 'duloxétine'}]"
25,Comment se manifeste la laryngite aiguë ?,"La laryngite aiguë comprend les symptômes suivants :
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)
  - Dyspnée
  - Respiration par la bouche
  - Obstruction nasale
  - Toux
  - Adénopathies cervicales
  - Fièvre
  - Altération [baisse] de l'état général (AEG).","{'query': 'match (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Laryngite aiguë"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Laryngite aiguë"") return m.name_fr'}","[{'m.name_fr': 'Stridor'}, {'m.name_fr': 'Toux rauque aboyante'}, {'m.name_fr': 'Troubles de la voix'}, {'m.name_fr': 'Aphonie (Perte de la voix)'}, {'m.name_fr': 'Douleur de la gorge'}, {'m.name_fr': 'Toux sèche'}, {'m.name_fr': 'Raclement de la gorge'}, {'m.name_fr': 'Rougeurs nasales'}, {'m.name_fr': 'Dysphagie'}, {'m.name_fr': 'Myalgies'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)'}, {'m.name_fr': 'Dysphonie'}, {'m.name_fr': 'Respiration par la bouche'}, {'m.name_fr': 'Obstruction nasale'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Dyspnée'}, {'m.name_fr': ""Altération [baisse] de l'état général (AEG)""}, {'m.name_fr': 'Adénopathies cervicales'}, {'m.name_fr': 'Fièvre'}]"
26,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,L'arthrite non précisée est associée au syndrome des antisynthétases.,"{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""syndrome des antisynthétases"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""syndrome des antisynthétases"") return m.name_fr'}","[{'m.name_fr': 'Arthrite, non précisée'}, {'m.name_fr': 'Main de mécanicien'}]"
27,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Rétinopathie de Vasalva"")  return m.name_fr'}","[{'m.name_fr': 'Hémorragie rétinienne'}, {'m.name_fr': 'Cécité'}]"
28,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"La protéinose alvéolaire est caractérisée par les signes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""protéinose alvéolaire"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""protéinose alvéolaire"") return m.name_fr'}","[{'m.name_fr': ""Dyspnée d'effort""}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
29,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,Les signes cliniques à rechercher devant une suspicion de BPCO non-tabagique sont la dyspnée et la toux.,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""BPCO non-tabagique"") return m.name_fr'}","[{'m.name_fr': 'Dyspnée'}, {'m.name_fr': 'Toux'}]"
30,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"Les symptômes cliniques associés à l'endométriose pleuro-pulmonaire sont les suivants :
  - Hémoptysie (hémoptysie)
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"") return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
31,Quels signes évoquent un lymphome pulmonaire primitif ?,"Le lymphome pulmonaire primitif peut évoquer les symptômes suivants :
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique
  - Asthénie / Fatigue
  - Splénomégalie, non classée ailleurs
  - Hépatomégalie, non classée ailleurs
  - Adénopathies.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Lymphome pulmonaire primitif"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Lymphome pulmonaire primitif"") return m.name_fr'}","[{'m.name_fr': 'AEG / Asthénie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Splénomégalie, non classée ailleurs'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Adénopathies'}]"
32,Quels sont les signes typiques de la fièvre typhoïde ?,"La fièvre typhoïde comprend les signes suivants :
  - Fièvre haute et persistante
  - Mal de tête
  - Toux sèche et rauque
  - Douleurs abdominales
  - Diarrhée ou constipation
  - Perte d'appétit
  - Faiblesse et fatigue.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Fèvre typhoïde"") return m.name_fr'}",[]
33,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"L'entérite à Salmonella se manifeste sur le plan clinique par les symptômes suivants :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue","{'query': 'MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Entérite à Salmonella"")  return m.name_fr'}","[{'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Vomissements aigus'}, {'m.name_fr': 'Diarrhée glairo sanglante'}, {'m.name_fr': 'Diarrhée aigue'}]"
34,Quels sont les signes cliniques attachés à la dermatophytose ?,"La dermatophytose comprend les lésions suivantes :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""dermatophytose"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""dermatophytose"") return m.name_fr'}","[{'m.name_fr': ""Lésion annulaire d'évolution centrifuge""}, {'m.name_fr': 'Lésion de la peau glabre'}, {'m.name_fr': 'Lésion située au niveau des grands plis '}]"
35,Quel est le tableau clinique d'une septicemie à Candida ?,"La septicemie à Candida comprend les symptômes suivants :
- Fievre récurrente
- Douleur abdominale
- Nausées et vomissements
- Inflammation de la peau et des muqueuses
- Poussée de fongal dans le sang
- Dysfonctionnement cardiaque ou respiratoire
- Aplasie du foie
- Maux de tête récurrents","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Septiciemie a Candida"")  return m.name_fr'}",[]
36,À quoi ressemble la présentation clinique de l'échinococcose ?,"L'échinococcose se caractérise par les symptômes suivants :
  - Hémoptysie (hémoptysis)
  - Toux (tussis)
  - Hépatomégalie, non classée ailleurs (hépato-mégalie sans autre précision)
  - Ictère, sans précision (jaunisse).","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Échinococcose"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Échinococcose"") return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Ictère, sans précision (jaunisse)'}]"
37,Quels signes cliniques orientent vers un hyperaldostéronisme ?,"Les signes cliniques orientant vers un hyperaldostéronisme sont les suivants :
- Paresthésie cutanée
- Polyurie (Périménurétrie)
- Polydipsie (Soif intense)
- Fatigabilité musculaire.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Hyperaldostéronisme"")  return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Hyperaldostéronisme"") return m.name_fr'}","[{'m.name_fr': 'Paresthésie cutanée'}, {'m.name_fr': 'Polyurie'}, {'m.name_fr': 'Polydipsie (Soif intense)'}, {'m.name_fr': 'Fatigabilité musculaire'}]"
38,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"Le stress post-traumatique peut être traité avec les médicaments suivants :
  - Sertraline
  - Paroxétine","{'query': 'match (d: Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""état de stress post-traumatique"") return dci.name_fr as Traitements'}","[{'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
39,Je pense avoir une énurésie non organique que dois-je faire ?,Les symptômes de l'énurésie non organique ne sont pas connus car il n'y a aucune information disponible à ce sujet. Il est recommandé de consulter un professionnel de santé pour obtenir une prise en charge appropriée.,"{'query': 'match (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""énurésie non organique"")  return m.name_fr'}",[]
40,Quels médicaments donner pour une chorée de Huntington ?,"Les médicaments donnés pour la chorée de Huntington sont :
  - L'antipsychotique clozapine
  - Le tetrabenazine
  - Le lithium.","{'query': ""match (d: Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = 'Chorée de Huntington' return dci.name_fr as médicaments""}",[]
41,Comment on traite l'épilepsie ?,"La épilepsie peut être traitée avec les médicaments suivants :
  - Prégabaline
  - Lamotrigine
  - Carbamazépine
  - Clobazam","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"")\n    return dci.name_fr as Traitements'}","[{'Traitements': 'prégabaline'}, {'Traitements': 'lamotrigine'}, {'Traitements': 'carbamazépine'}, {'Traitements': 'clobazam'}]"
