,question,answer,cypher,contexts
89,Je pense avoir une énurésie non organique que dois-je faire ?,"We can't provide medical advice. If you are experiencing symptoms of bedwetting, we suggest consulting a healthcare professional for proper diagnosis and treatment.

This is an example of how your response should look like: 

La pathologie X comprend les symptômes suivants : 
  - Symptôme 1
  - Symptôme 2
  - Symptôme 3.","{'query': 'cypher\nMATCH (d:Disease)-[:is_treated_by]->(t:Therapy) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Énurésie non organique"")\n    return t.name_fr as Traitements\n'}",[]
90,Quels médicaments donner pour une chorée de Huntington ?,,,
91,Comment on traite l'épilepsie ?,,,
92,Que préscrire pour un état de mal épileptique ?,,,
93,"j'ai une migraine, que dois-je faire ?",,,
94,Que donne un médecin pour une céphalée de tension ?,,,
95,Comment prendre en charge la névralgie du trijumeau ?,,,
96,Quels médicaments prendre pour un trouble affectif bipolaire ?,,,
97,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,,,
98,Comment traiter les phobies sociales ?,,,
99,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,,,
100,Comment se manifeste la laryngite aiguë ?,,,
101,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,,,
102,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,,,
103,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,,,
104,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,,,
105,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,,,
106,Quels signes évoquent un lymphome pulmonaire primitif ?,"[]

Please provide your response.","{'query': 'cypher\nMATCH (d:Disease {name_fr:""Épilepsie""})-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Épirepsie"")  return m.name_fr UNION MATCH (n:Disease)-[:is_part_of]->(g:Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Épilepsie"") return m.name_fr\n'}",[]
107,Quels sont les signes typiques de la fièvre typhoïde ?,,,
108,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,,,
109,Quels sont les signes cliniques attachés à la dermatophytose ?,,,
110,Quel est le tableau clinique d'une septicemie à Candida ?,,,
111,À quoi ressemble la présentation clinique de l'échinococcose ?,,,
112,Quels signes cliniques orientent vers un hyperaldostéronisme ?,,,
113,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,,,
114,Je pense avoir une énurésie non organique que dois-je faire ?,,,
115,Quels médicaments donner pour une chorée de Huntington ?,,,
116,Comment on traite l'épilepsie ?,,,
117,Que préscrire pour un état de mal épileptique ?,,,
118,"j'ai une migraine, que dois-je faire ?",,,
119,Que donne un médecin pour une céphalée de tension ?,,,
120,Comment prendre en charge la névralgie du trijumeau ?,,,
121,Quels médicaments prendre pour un trouble affectif bipolaire ?,,,
122,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,,,
123,Comment traiter les phobies sociales ?,,,
124,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,,,
